         577251 function calls (565261 primitive calls) in 0.712 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      361    0.000    0.000    0.000    0.000 typing.py:592(_is_dunder)
      162    0.000    0.000    0.002    0.000 traceback.py:282(line)
      136    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        6    0.000    0.000    0.004    0.001 patches.py:1781(<listcomp>)
      136    0.000    0.000    0.000    0.000 deprecation.py:114(deprecated)
        4    0.000    0.000    0.027    0.007 functional.py:1(<module>)
       25    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      129    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      481    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       18    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
      687    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      112    0.000    0.000    0.001    0.000 inspect.py:2843(replace)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
       54    0.000    0.000    0.000    0.000 pyparsing.py:3370(__str__)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      316    0.000    0.000    0.000    0.000 types.py:164(__get__)
     1045    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      690    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       25    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
      125    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       66    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       85    0.000    0.000    0.000    0.000 sre_parse.py:837(_parse_flags)
      340    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
      505    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3970(<listcomp>)
      765    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
       25    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      126    0.000    0.000    0.000    0.000 colors.py:708(__init__)
       27    0.000    0.000    0.000    0.000 pathlib.py:523(_select_from)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._dist_autograd_init}
      239    0.000    0.000    0.000    0.000 inspect.py:891(tokeneater)
